Time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
1652215403.019464,-86054.9090570103,-14824.995675682507,-15413.964142079849,-15879.774496528447,-181790.6045068031,-187500.02235174447,-184393.77807304598,-187500.02235174447
1652215403.019471,-86014.31828907947,-14823.207536126083,-15411.796022867684,-15877.874598249746,-181790.87272773657,-187500.02235174447,-184393.97923874608,-187500.02235174447
1652215403.02687,-86026.58939678544,-14822.715797748066,-15410.991360067292,-15877.293452893908,-181792.57146031517,-187500.02235174447,-184395.65561958024,-187500.02235174447
1652215403.02688,-86061.50282162463,-14820.950009936096,-15408.823240855128,-15875.326499381841,-181793.08555043765,-187500.02235174447,-184396.05795098044,-187500.02235174447
1652215403.034899,-86048.67292030728,-14819.094815146305,-15406.610418154052,-15873.38189761423,-181793.3537713711,-187500.02235174447,-184396.23676493607,-187500.02235174447
1652215403.03491,-86006.42812328675,-14816.233791856026,-15403.369415208033,-15870.364412112764,-181792.5044050818,-187500.02235174447,-184395.45445388014,-187500.02235174447
1652215403.042916,-86009.08798087692,-14811.472870287047,-15398.317920961133,-15865.536435310416,-181789.9563062139,-187500.02235174447,-184392.88400326777,-187500.02235174447
1652215403.042924,-86042.59324581543,-14810.6458557422,-15397.155630249457,-15864.396496343195,-181791.27505913677,-187500.02235174447,-184394.20275619064,-187500.02235174447
1652215403.049484,-86040.1122021809,-14809.304751074882,-15395.47924941531,-15862.85422597578,-181792.14677717054,-187500.02235174447,-184394.98506724657,-187500.02235174447
1652215403.049494,-85994.73816093661,-14805.996692895496,-15392.014729024737,-15859.501464307485,-181791.07389343667,-187500.02235174447,-184393.80042479045,-187500.02235174447
1652215403.05753,-85983.42817824223,-14802.420413782647,-15388.013766767237,-15855.813426472358,-181789.73278876935,-187500.02235174447,-184392.34756140085,-187500.02235174447
1652215403.05754,-86018.0510304035,-14799.469983514546,-15384.683356843396,-15852.751237481982,-181788.88342248005,-187500.02235174447,-184391.43113987817,-187500.02235174447
1652215403.065514,-86026.74585899661,-14798.307692802871,-15383.074031242613,-15851.454836303574,-181789.88925098054,-187500.02235174447,-184392.43696837866,-187500.02235174447
1652215403.065524,-85985.30572477648,-14796.050166612884,-15380.503580630253,-15848.99614441349,-181789.66573353598,-187500.02235174447,-184392.36991314532,-187500.02235174447
1652215403.072708,-85966.038521056,-14794.373785778736,-15378.42486839591,-15847.163301368155,-181790.06806493617,-187500.02235174447,-184392.74989280105,-187500.02235174447
1652215403.072717,-85997.06274235997,-14790.462230499057,-15374.245092182768,-15843.207042599564,-181788.43638759095,-187500.02235174447,-184390.91704975572,-187500.02235174447
