CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
-6538.779322955528,-6590.791832303028,-6568.037756447525,-6627.940431587748,-125799.90932940357,-147008.11618663266,-125156.11203385735,-146317.91666959724
-6548.2117591156675,-6597.49735563962,-6572.955140227693,-6631.583765933963,-125802.92681490503,-147010.23960235593,-125156.71553095765,-146317.38022773032
-6553.10679115138,-6600.313675440989,-6574.340948383921,-6632.0308008230695,-125802.85975967167,-147009.47964304444,-125154.68152221222,-146314.56390792894
-6544.05433464698,-6593.697559082218,-6569.423564603754,-6628.141597287846,-125801.18337883752,-147008.51851803286,-125155.10620535687,-146316.01677131854
-6536.5888519989085,-6588.467250879676,-6565.780230257539,-6625.615850164396,-125800.8928061596,-147008.8984976886,-125156.98375189111,-146318.94484984217
-6543.607299757874,-6593.295227682022,-6569.200047159201,-6627.940431587748,-125802.97151839394,-147010.39606456712,-125157.1849175912,-146318.16253878624
-6549.374049827344,-6596.625637605863,-6570.697614037706,-6628.163949032301,-125802.30096606028,-147009.0996633887,-125154.14508034529,-146313.9827625731
-6540.142779367302,-6589.271913680067,-6564.528532568042,-6622.911289085304,-125798.83644566972,-147006.1045296317,-125152.13342334432,-146312.75341662805
-6531.760875196562,-6583.706329310695,-6560.9522534551925,-6620.78787336205,-125799.12701834763,-147007.19976511,-125155.10620535687,-146316.95554458565
-6537.505273521576,-6588.042567735025,-6564.3497186124,-6623.514786185598,-125801.80922768227,-147009.56905002226,-125156.67082746874,-146317.84961436386
-6547.429448059732,-6594.97160851617,-6569.1106401813795,-6626.8675478538935,-125804.13380910562,-147010.9995616674,-125156.24614432409,-146316.17323352973
-6541.662697990263,-6590.344797413922,-6565.132029668335,-6623.313620485499,-125801.92098640454,-147009.05495989977,-125154.8379844234,-146315.16740502923
-6531.045619373992,-6582.745204299117,-6559.812314487972,-6619.379713461365,-125800.87045441514,-147008.78673896633,-125156.55906874646,-146318.25194576406
-6533.571366497442,-6584.645102577818,-6561.287529622023,-6620.564355917497,-125802.56918699374,-147010.3513610782,-125157.83311818042,-146319.21307077564
-6544.791942214006,-6592.669378837273,-6567.076631435947,-6624.922946086282,-125805.67607947304,-147012.51948029036,-125158.05663562498,-146318.02842831952
-6542.2214916016455,-6590.277742180556,-6564.752050012595,-6622.754826874117,-125804.22321608344,-147011.13367213414,-125156.64847572429,-146316.73202714112
-6530.509177507064,-6581.82878277645,-6558.694727265207,-6618.2621262386,-125802.32331780474,-147010.30665758927,-125157.76606294705,-146319.28012600902
-6530.352715295878,-6581.87348626536,-6558.91824470976,-6618.552698916519,-125803.6420707276,-147011.69246574552,-125159.42009203674,-146321.00121033206
-6540.656869489774,-6589.093099724424,-6563.902683723293,-6621.927812329271,-125806.12311436214,-147013.21238436847,-125158.92835365873,-146319.16836728674
-6541.953270668182,-6589.786003802539,-6564.081497678936,-6621.748998373628,-125806.1901695955,-147013.16768087956,-125158.30250481398,-146318.22959401962
-6529.011610628559,-6579.839477519927,-6556.414849330766,-6615.490509926142,-125802.5915387382,-147010.44076805603,-125157.49784201359,-146318.81073937545
-6525.524738493531,-6577.246675163112,-6554.716116752162,-6614.283515725555,-125802.81505618276,-147010.97720992294,-125158.74953970309,-146320.53182369852
-6537.080590376925,-6585.852096778405,-6561.265177877567,-6619.402065205821,-125807.10659111818,-147014.35232333568,-125160.2918100705,-146320.73298939862
-6541.170959612246,-6588.668416579773,-6562.91920696726,-6620.363190217399,-125807.8441986852,-147014.68759950253,-125159.57655424793,-146319.4365882202
-6528.922203650738,-6579.280683908544,-6555.565483041463,-6614.395274447832,-125804.08910561672,-147011.80422446778,-125158.45896702516,-146319.48129170912
-6523.62484021483,-6575.704404795695,-6553.307956851478,-6612.987114547148,-125804.58084399473,-147012.87710820165,-125160.80590019298,-146322.52112895504
-6532.8337589304165,-6582.298169410011,-6558.158285398279,-6616.585745404452,-125807.66538472955,-147015.11228264717,-125161.49880427109,-146322.11879755484
-6537.639383988308,-6584.890971766827,-6559.253520876589,-6616.719855871183,-125807.21834984045,-147013.99469542442,-125159.01776063655,-146318.74368414207
-6528.072837361436,-6577.671358307763,-6553.620881273852,-6612.160100002301,-125804.64789922809,-147012.16185237907,-125158.45896702516,-146319.1907190312
-6519.914450635249,-6571.949311727204,-6549.686974249718,-6609.343780200932,-125804.13380910562,-147012.38536982363,-125160.24710658159,-146322.07409406593
-6529.3692385398435,-6579.481849608642,-6555.9007592082935,-6614.529384914564,-125809.11824811915,-147016.76631173686,-125163.53281301651,-146324.53278595602
